Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,library_strategy,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,variety,molecule_subtype,selection_media
SRR8697592,miRNA-Seq,51,810130053,PRJNA526042,SAMN11082878,280974773,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5493448,rde4::NATR,GSM3660337,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660337,yeast,SRP187879,CK3501,grubii,small RNA,
SRR8697593,miRNA-Seq,51,1467767352,PRJNA526042,SAMN11082877,517839658,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5493449,rde4::NATR,GSM3660338,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660338,yeast,SRP187879,CK3501,grubii,small RNA,
SRR8697594,miRNA-Seq,51,899236998,PRJNA526042,SAMN11082876,315269078,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5493450,rde5::NATR,GSM3660339,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660339,yeast,SRP187879,CK1821,grubii,small RNA,
SRR8697595,miRNA-Seq,51,828464910,PRJNA526042,SAMN11082875,292091654,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5493451,rde5::NATR,GSM3660340,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660340,yeast,SRP187879,CK1821,grubii,small RNA,
SRR8697596,miRNA-Seq,51,366069534,PRJNA526042,SAMN11082874,127055272,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5493452,rdp1::NATR,GSM3660341,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660341,yeast,SRP187879,CK4680,grubii,small RNA,
SRR8697598,miRNA-Seq,50,168763450,PRJNA526042,SAMN11082872,85165554,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX5493454,rrp6::NATR,GSM3660343,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660343,yeast,SRP187879,CK4325,grubii,small RNA,
SRR8697599,miRNA-Seq,50,113399600,PRJNA526042,SAMN11082871,57881881,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5493455,rrp6::NATR,GSM3660344,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660344,yeast,SRP187879,CK4325,grubii,small RNA,
SRR8697597,miRNA-Seq,51,618880665,PRJNA526042,SAMN11082873,220562013,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5493453,rdp1::NATR,GSM3660342,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660342,yeast,SRP187879,CK4680,grubii,small RNA,
SRR8697588,miRNA-Seq,51,1270345077,PRJNA526042,SAMN11082882,438519955,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5493444,rde2::NATR,GSM3660333,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660333,yeast,SRP187879,CK5443,grubii,small RNA,
SRR8697601,miRNA-Seq,51,1133711589,PRJNA526042,SAMN11082869,385606817,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5493457,Kn99alpha,GSM3660346,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660346,yeast,SRP187879,CM026,grubii,small RNA,
SRR8697591,miRNA-Seq,51,1206124143,PRJNA526042,SAMN11082879,422758155,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5493447,rde3::NATR,GSM3660336,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660336,yeast,SRP187879,CK6327,grubii,small RNA,
SRR8697600,miRNA-Seq,51,676864605,PRJNA526042,SAMN11082870,233165544,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5493456,Kn99alpha,GSM3660345,Illumina HiSeq 4000,small RNA-seq,SINGLE,size fractionation,TRANSCRIPTOMIC,Cryptococcus neoformans var. grubii,ILLUMINA,2020-07-13T00:00:00Z,GSM3660345,yeast,SRP187879,CM026,grubii,small RNA,
